PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.5733827078381315,-0.7994567962317952,1,3,0
-1.4575298207427225,0.18189545033573862,1,0,0
3.604046780740778,-0.5397164651351701,2,1,-1
-1.2090969805041674,0.5698723672138573,0,0,0
-0.0692481076183794,0.5634004757462818,0,0,0
-1.5866929299610655,0.7238040415148672,0,0,0
-1.787247530182148,-0.7346537896433786,1,2,1
-2.012321832000628,-0.5716636908271815,1,3,0
1.1447852890779973,-0.5603224162995563,2,2,1
-0.008937743422695406,-0.5722356379236897,1,2,-1
0.4598896205402567,-0.30232210249402375,1,0,0
5.015712771950804,-0.4110970053180383,2,1,-1
0.1763646137219781,0.6309406317192933,0,0,0
0.6852133009309238,0.0306736113602066,0,0,0
0.6134203673697411,-1.409112031820811,1,3,0
-0.27404764316187136,0.8972593464455337,0,0,0
0.10765381047455075,-1.0796883992384592,1,2,1
-1.2642146814000355,-0.24622430328542355,1,3,0
1.723956018145276,-0.817483780801153,2,2,1
-0.5249425081941884,-2.0081892074807937,1,3,0
-1.6932892520463756,1.3169739661580442,0,0,0
-1.4423465925201038,-0.18987412004559256,1,3,0
0.39460058327457753,-1.445649135022783,1,3,0
1.1191136812277733,0.5583100818445331,0,2,1
1.1821913298099125,0.9810049066675655,0,2,1
0.23744172390039484,-1.5731453957054067,1,2,1
0.2811948289417991,-1.6426765181538399,1,3,0
0.013594438184227675,-1.2133839005574263,1,2,1
-0.9766901765693229,-0.3385113524882507,1,3,0
-0.3399943610792059,1.1567998438693412,0,0,0
0.7147988741749751,-0.6035706137180405,1,3,0
-0.8000228606044929,1.8231389124432387,0,0,0
-1.6856537657484754,0.2745171214323317,1,0,0
-1.4348598421106908,1.0034083507179317,0,0,0
-0.5633413739798985,-1.3395298131162612,1,3,0
-1.6060217244495036,-0.37201816624700884,1,3,0
0.15042909421120912,3.041345324959385,0,0,0
1.7923633787941822,-2.1908915304772663,2,1,1
-2.3260987604880774,-0.782026682440113,1,3,0
-0.11949631802990456,0.6284408019807888,0,0,1
-0.8517872610622016,0.07783881769673862,1,2,1
-1.3450155201410883,-1.290669546879408,1,3,0
-1.101078552641204,-0.2933422450217405,1,3,0
1.635147513778181,-0.4747645180390916,2,1,1
-2.2711392492269593,-0.3618871258336904,1,0,0
-0.48906307447442426,1.3715181258448657,0,0,0
-0.7158008698483129,-0.23560375682820528,1,3,0
-1.7946930718163778,0.6175276119478327,1,0,0
-0.4961297888001241,-0.2092916879271143,1,3,0
1.490557684923471,1.3540467420775786,0,0,0
0.7440563952930768,0.5504955911338353,0,0,1
-2.012321832000628,-0.5716636908271815,1,3,0
-0.5725077705217648,-0.3470852391873392,1,3,0
-1.1911754106672785,0.4209666485606822,1,0,0
-0.9558156398332591,1.2631551445625329,0,2,1
0.11417851899508143,-0.9950699607581099,1,3,0
1.6418221470718162,-1.2851391573819748,2,2,-1
-1.138154946116165,-1.1862852731732791,1,2,1
-1.6708164687524192,-0.8254542611718211,1,3,0
-0.9002061709032767,0.3540125487108324,1,0,0
-1.9678779896253327,0.04597519008248775,1,3,0
-2.292496644290388,-0.05392464466348698,1,3,0
-1.43041318482092,1.9576580189980075,0,2,1
-0.9699392246663174,-0.039581238740325354,1,2,-1
1.424204341635499,0.8621513724507559,2,2,1
4.403936524647925,0.205131741958568,2,1,1
2.7372141155101377,-1.2693101769949238,2,1,1
-1.8055348589046452,-1.3862725937904694,1,2,1
-1.7313456678407737,-0.4901542532350481,1,3,0
0.5799010767786431,0.5911755056627678,0,2,1
2.939070086077788,0.47297072207820656,2,1,1
-0.409938766671393,1.4944390910873353,0,0,0
-0.11162155465040073,-0.8022881031833227,1,0,0
-1.083767165676129,-1.7084960222519303,1,3,0
-0.2713157226245536,-1.827646765089772,1,3,0
0.04841874156834943,-0.26082280949575326,1,2,1
-0.5324699761562994,-0.10218383556465511,1,0,0
-0.8172582981731704,-0.30793792538500264,1,3,0
-2.6332221958505215,-0.8897090858808758,1,3,0
-1.2824216231011523,1.1189812654805855,0,0,0
-1.2735734877381346,-0.24048534899063348,1,0,0
-0.2664629775344537,1.0610491372703017,0,0,0
-0.03451218808809485,2.2885464877962685,0,0,0
1.4794089103947285,-0.47121455858946315,2,1,1
-1.700825956958698,-1.8713969024745345,1,3,0
-1.6571345432456381,-0.8157831204396085,1,3,0
3.776942372414994,2.3255643261375774,2,1,1
-1.7432425830794294,2.0554542520126042,0,0,0
-1.6708164687524192,-0.8254542611718211,1,3,0
-1.5777410959871137,-0.5121734523119388,1,0,0
-2.008575149631864,0.0801845109251768,1,0,0
3.198910457640446,-2.0824599139919227,2,1,-1
-1.100111339546575,-1.0810794535109662,1,3,0
0.34343106014029334,0.7624447385116133,0,0,0
2.238226233248482,0.3539698427311982,2,1,1
1.0611679096506763,-1.5197608429262301,2,3,0
-2.1135387957652,-0.07262958729709715,1,0,0
-2.0749652384676613,-0.24912524413081713,1,3,0
-0.8964530207523296,0.3195573291058442,1,0,0
-1.6512865239893773,-0.08215054762037988,1,2,1
-0.5094372332712847,2.234368399374412,0,0,0
-0.09615962900839124,-0.308534433878391,1,2,1
-0.2521297931709464,0.357753201061259,0,3,0
-1.9063425909168341,-0.18450893492266057,1,3,0
0.28923498304393014,1.9376760449623682,0,0,0
-0.6122141243039192,0.26104113400235573,1,2,1
-0.4556652692938911,2.016184288206024,0,0,0
-0.03451218808809485,2.2885464877962685,0,0,0
1.3543560522365956,-1.2303570138198021,2,1,-1
3.537005175766815,-2.1118295702189305,2,2,-1
1.5653161383899803,-1.0618536829767007,2,1,1
-1.5187936474554145,-0.5658250864725968,1,3,0
-0.44569515849182034,0.001071035930312376,1,0,0
-1.3475479589567316,-0.5681529276846016,1,3,0
-0.77635287819889,-0.29643490951597673,1,3,0
1.0892419461862664,0.812619382156296,0,1,1
-0.23144460129816283,-1.4243246351099754,1,3,0
-0.48417741684339377,-1.5100344025375032,1,3,0
3.5107894791589747,-1.315684531218489,2,1,1
-0.3371901274600204,-0.16744703839359193,1,0,0
1.8513797117232462,-0.2688675732400436,2,0,0
-0.3029374205648259,-1.6683417826064137,1,2,1
-1.4447771345728548,0.525141782379193,1,0,0
0.47021802604292745,2.2957743427634183,0,2,1
-0.34593226802909693,-2.139727711939525,1,2,1
1.5606428190189565,-1.8772888734033069,2,2,-1
4.703144368310077,-1.1376133214185455,2,1,-1
-0.19703599100014751,0.051746661224775926,1,0,0
0.3161296020709822,0.2923404284187096,0,0,0
-1.5310517554682825,1.775710183028829,0,0,0
-1.451519741636003,0.9393905050948156,0,0,0
-1.7886256671212928,0.5367930068317452,0,0,0
-0.8732419574405667,0.675380373220575,0,0,0
2.302507453355002,-2.2028229651972135,2,1,1
-0.5239121685239494,-0.8110037274170072,1,3,0
2.9326295774393842,-1.0593978724542317,2,1,1
-0.7876343598523337,-1.652738118031951,1,3,0
0.993342241907098,1.299885655732808,0,0,0
5.047448772278991,-0.6250536042853945,2,1,-1
-0.5782256584027977,0.6106617886262461,0,0,0
1.2751152489087292,-0.12704100214760916,2,2,1
-0.3462130218232817,0.019673114881429678,1,0,0
0.7811538997473614,0.6735726926685031,0,0,1
-0.0006872917380769597,1.5187972086088568,0,2,1
-0.172338766552867,-0.7602109276323712,1,2,1
-0.8727628740851675,1.2134416760967701,0,0,0
-0.4592500754790386,-1.6537320694434245,1,2,1
-0.5183270475442517,-0.43356790607060214,1,0,0
-1.0475061710123037,0.37078154051764917,0,0,0
-0.03675330555132631,-0.4481200218699498,1,2,1
0.4840918074918163,-1.449353736606561,1,3,0
-1.0373191505339123,0.5830853233937245,0,0,0
2.0316756803744336,-0.27092042620409584,2,2,1
1.6977571216828653,-4.614009149880147,2,2,-1
0.37193477850975937,1.2102506422581503,0,2,1
-1.1562588589809504,0.7318585014694474,0,0,0
-1.2184167164763897,0.07417326105537013,1,3,0
-1.6915920348888,-0.5999392776130328,1,3,0
-0.9766901765693229,-0.3385113524882507,1,3,0
-0.9560815281253503,0.3616447329788496,1,0,0
-0.28155842811240633,1.9744360693756728,0,0,0
0.06406495753205711,-0.5641903912602886,1,2,1
-1.1539233089394372,0.2670762791346608,1,0,0
-1.1641309447830321,-0.5143929135307589,1,0,0
0.35032444031226917,-1.7313048659862649,1,3,0
2.7093935382664793,-2.8195027582389702,2,1,1
0.6486566688325556,-0.10746731432948312,0,2,1
-1.4654247863945016,1.095397569978169,0,0,0
-1.560674883387651,-1.125241856001172,1,3,0
1.779080832420623,3.5778166147121,0,1,-1
3.6730002581085803,0.9626073756352205,2,1,1
3.604046780740778,-0.5397164651351701,2,1,-1
-2.292496644290388,-0.05392464466348698,1,3,0
-0.767195142014248,-1.2476840236176312,1,3,0
-1.3699060068052444,0.7562817706835384,0,0,0
-1.094803436134932,-0.37185054012861757,1,2,1
-1.5984079080273295,0.6257045367977014,0,0,0
-0.9912142512664452,-0.8307601598261278,1,3,0
-1.3295525470064036,-0.03980494944736862,1,0,0
4.371476671667483,1.172782633787305,2,1,-1
-2.3500483427116223,-0.3675942017002894,1,0,0
1.896801782301172,-2.9486627008027897,2,1,1
-1.4501067879390832,0.7629246568363741,0,0,0
1.5940780949419857,0.4664748150836728,2,1,-1
2.995380931052474,2.4930059422362274,2,1,1
-2.030968622722012,-0.08642215119115673,1,3,0
-0.42745220772662773,-0.005445502262950702,1,0,0
